Total weight:4479.97	Free space:0.028
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]TAMUSICコンサート～key編～(MPC)	(83.501)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[ししまいブラザーズ]東方夏風一過(mpc+cue)	(77.349)
    (C72)(同人音楽)(東方)[クラゲノボーン]東方大激震(mpc+cue)	(60.551)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (例大祭5)(同人音楽)[SYNC.ART'S]天つ風(mpc+cue)	(80.57)
    (同人音楽)(C73)[lovesolfege']マリアスノニウムの謝肉祭(mpc+cue+jpg)	(94.127)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][070817(C72)][ひえろぐらふ]東方劇場(mpc+cue)	(66.526)
    [EAC][080709][アルバム]CDで聞いてみて。～ニコニコ動画せれくちょん～(mpc+cue+jpg)	(111.832)
    [hayabusa][080627]ナツウタ2～きみと奏でる愛の歌～(lameCBR192k_jpg)	(99.673)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.9	Free space:0.096
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]AirコラボCD初期作品集(MPC)	(50.852)
    (C72)(同人音楽)[TAMUSIC]TAMUSICコンサート～key編～(MPC)	(83.501)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[Kota-rocK]闇深祭(mpc+cue)	(86.516)
    (C72)(同人音楽)(東方)[クラゲノボーン]東方大激震(mpc+cue)	(60.551)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][080709][アルバム]CDで聞いてみて。～ニコニコ動画せれくちょん～(mpc+cue+jpg)	(111.832)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C72][Crazy_Voltage]_Drawing_the_Spell[mpc+cue]	(55.532)
    [同人音楽][C72][Private_Square]_Star_dust_Little_box[mpc+cue]	(64.254)
    [同人音楽][C72][RippleTale]_re：[MPC]	(119.788)
    [同人音楽][C72][Silly_Walker]_TEI！TEI！TEI！[mpc+cue]	(92.801)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.9	Free space:0.1
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]AirコラボCD初期作品集(MPC)	(50.852)
    (C72)(同人音楽)[TAMUSIC]TAMUSICコンサート～key編～(MPC)	(83.501)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[Kota-rocK]闇深祭(mpc+cue)	(86.516)
    (C72)(同人音楽)(東方)[クラゲノボーン]東方大激震(mpc+cue)	(60.551)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (例大祭5)(同人音楽)[SYNC.ART'S]天つ風(mpc+cue)	(80.57)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][080709][アルバム]CDで聞いてみて。～ニコニコ動画せれくちょん～(mpc+cue+jpg)	(111.832)
    [IMS][JS](同人音楽)(例大祭5)[舞風(MAIKAZE)]東方天ノ神月(lame192k)	(32.067)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Atelier_Oguu]_幽々閑々[mpc+cue]	(48.444)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C72][RippleTale]_re：[MPC]	(119.788)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.9	Free space:0.105
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[Kota-rocK]闇深祭(mpc+cue)	(86.516)
    (C72)(同人音楽)(東方)[クラゲノボーン]東方大激震(mpc+cue)	(60.551)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (例大祭5)(同人音楽)[SYNC.ART'S]天つ風(mpc+cue)	(80.57)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][070817(C72)][ひえろぐらふ]東方劇場(mpc+cue)	(66.526)
    [EAC][080709][アルバム]CDで聞いてみて。～ニコニコ動画せれくちょん～(mpc+cue+jpg)	(111.832)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C72][Crazy_Voltage]_Drawing_the_Spell[mpc+cue]	(55.532)
    [同人音楽][C72][RippleTale]_re：[MPC]	(119.788)
    [同人音楽][C72][Silly_Walker]_TEI！TEI！TEI！[mpc+cue]	(92.801)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.89	Free space:0.109
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]AirコラボCD初期作品集(MPC)	(50.852)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[ししまいブラザーズ]東方夏風一過(mpc+cue)	(77.349)
    (C72)(同人音楽)(東方)[クラゲノボーン]東方大激震(mpc+cue)	(60.551)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (同人音楽)(C73)[lovesolfege']マリアスノニウムの謝肉祭(mpc+cue+jpg)	(94.127)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    yuuhizaka	(20.401)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][070817(C72)][ひえろぐらふ]東方劇場(mpc+cue)	(66.526)
    [EAC][080709][アルバム]CDで聞いてみて。～ニコニコ動画せれくちょん～(mpc+cue+jpg)	(111.832)
    [hayabusa][080627]ナツウタ2～きみと奏でる愛の歌～(lameCBR192k_jpg)	(99.673)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C72][Silly_Walker]_TEI！TEI！TEI！[mpc+cue]	(92.801)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.89	Free space:0.114
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]AirコラボCD初期作品集(MPC)	(50.852)
    (C72)(同人音楽)[TAMUSIC]TAMUSICコンサート～key編～(MPC)	(83.501)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[Kota-rocK]闇深祭(mpc+cue)	(86.516)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (例大祭5)(同人音楽)[SYNC.ART'S]天つ風(mpc+cue)	(80.57)
    (同人音楽)(C73)[lovesolfege']マリアスノニウムの謝肉祭(mpc+cue+jpg)	(94.127)
    (同人音楽)[SoundHorizon]東方ストライク	(67.036)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][080709][アルバム]CDで聞いてみて。～ニコニコ動画せれくちょん～(mpc+cue+jpg)	(111.832)
    [hayabusa][080627]ナツウタ2～きみと奏でる愛の歌～(lameCBR192k_jpg)	(99.673)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.88	Free space:0.119
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]AirコラボCD初期作品集(MPC)	(50.852)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[クラゲノボーン]東方大激震(mpc+cue)	(60.551)
    (C72)(同人音楽)(東方)[サークルRW]少女幻樂-DeceptiveCadence-(mpc+cue)	(56.768)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (同人音楽)(C73)[lovesolfege']マリアスノニウムの謝肉祭(mpc+cue+jpg)	(94.127)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][080709][アルバム]CDで聞いてみて。～ニコニコ動画せれくちょん～(mpc+cue+jpg)	(111.832)
    [hayabusa][080627]ナツウタ2～きみと奏でる愛の歌～(lameCBR192k_jpg)	(99.673)
    [IMS][JS](同人音楽)(例大祭5)[舞風(MAIKAZE)]東方天ノ神月(lame192k)	(32.067)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Atelier_Oguu]_幽々閑々[mpc+cue]	(48.444)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C72][RippleTale]_re：[MPC]	(119.788)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.88	Free space:0.122
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]AirコラボCD初期作品集(MPC)	(50.852)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[Kota-rocK]闇深祭(mpc+cue)	(86.516)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (例大祭5)(同人音楽)[SYNC.ART'S]天つ風(mpc+cue)	(80.57)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][080709][アルバム]CDで聞いてみて。～ニコニコ動画せれくちょん～(mpc+cue+jpg)	(111.832)
    [hayabusa][080627]ナツウタ2～きみと奏でる愛の歌～(lameCBR192k_jpg)	(99.673)
    [IMS][JS](同人音楽)(例大祭5)[舞風(MAIKAZE)]東方天ノ神月(lame192k)	(32.067)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C72][RippleTale]_re：[MPC]	(119.788)
    [同人音楽][C72][Silly_Walker]_TEI！TEI！TEI！[mpc+cue]	(92.801)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.87	Free space:0.128
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]TAMUSICコンサート～key編～(MPC)	(83.501)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[Kota-rocK]闇深祭(mpc+cue)	(86.516)
    (C72)(同人音楽)(東方)[クラゲノボーン]東方大激震(mpc+cue)	(60.551)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (同人音楽)(C73)[lovesolfege']マリアスノニウムの謝肉祭(mpc+cue+jpg)	(94.127)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][080709][アルバム]CDで聞いてみて。～ニコニコ動画せれくちょん～(mpc+cue+jpg)	(111.832)
    [IMS][JS](同人音楽)(例大祭5)[舞風(MAIKAZE)]東方天ノ神月(lame192k)	(32.067)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Atelier_Oguu]_幽々閑々[mpc+cue]	(48.444)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C72][Private_Square]_Star_dust_Little_box[mpc+cue]	(64.254)
    [同人音楽][C72][Silly_Walker]_TEI！TEI！TEI！[mpc+cue]	(92.801)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.87	Free space:0.132
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]TAMUSICコンサート～key編～(MPC)	(83.501)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[いえろ～ぜぶら]東方スプラッシュ！(mpc+cue)	(68.116)
    (C72)(同人音楽)(東方)[クラゲノボーン]東方大激震(mpc+cue)	(60.551)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (同人音楽)(C73)[lovesolfege']マリアスノニウムの謝肉祭(mpc+cue+jpg)	(94.127)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [hayabusa][080627]ナツウタ2～きみと奏でる愛の歌～(lameCBR192k_jpg)	(99.673)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C72][Crazy_Voltage]_Drawing_the_Spell[mpc+cue]	(55.532)
    [同人音楽][C72][RippleTale]_re：[MPC]	(119.788)
    [同人音楽][C72][Silly_Walker]_TEI！TEI！TEI！[mpc+cue]	(92.801)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.86	Free space:0.137
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]TAMUSICコンサート～key編～(MPC)	(83.501)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[Kota-rocK]闇深祭(mpc+cue)	(86.516)
    (C72)(同人音楽)(東方)[ししまいブラザーズ]東方夏風一過(mpc+cue)	(77.349)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (例大祭5)(同人音楽)[SYNC.ART'S]天つ風(mpc+cue)	(80.57)
    (同人音楽)(C73)[lovesolfege']マリアスノニウムの謝肉祭(mpc+cue+jpg)	(94.127)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    yuuhizaka	(20.401)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][080709][アルバム]CDで聞いてみて。～ニコニコ動画せれくちょん～(mpc+cue+jpg)	(111.832)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C72][RippleTale]_re：[MPC]	(119.788)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.86	Free space:0.141
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]AirコラボCD初期作品集(MPC)	(50.852)
    (C72)(同人音楽)[TAMUSIC]TAMUSICコンサート～key編～(MPC)	(83.501)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[いえろ～ぜぶら]東方スプラッシュ！(mpc+cue)	(68.116)
    (C72)(同人音楽)(東方)[クラゲノボーン]東方大激震(mpc+cue)	(60.551)
    (C72)(同人音楽)(東方)[サークルRW]少女幻樂-DeceptiveCadence-(mpc+cue)	(56.768)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (同人音楽)(C73)[lovesolfege']マリアスノニウムの謝肉祭(mpc+cue+jpg)	(94.127)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][080709][アルバム]CDで聞いてみて。～ニコニコ動画せれくちょん～(mpc+cue+jpg)	(111.832)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C72][Crazy_Voltage]_Drawing_the_Spell[mpc+cue]	(55.532)
    [同人音楽][C72][Silly_Walker]_TEI！TEI！TEI！[mpc+cue]	(92.801)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.86	Free space:0.145
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]AirコラボCD初期作品集(MPC)	(50.852)
    (C72)(同人音楽)[TAMUSIC]TAMUSICコンサート～key編～(MPC)	(83.501)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[Kota-rocK]闇深祭(mpc+cue)	(86.516)
    (C72)(同人音楽)(東方)[いえろ～ぜぶら]東方スプラッシュ！(mpc+cue)	(68.116)
    (C72)(同人音楽)(東方)[クラゲノボーン]東方大激震(mpc+cue)	(60.551)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (例大祭5)(同人音楽)[efs]夜桜幻想郷(mpc+cue)	(60.853)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    [ALIPROJECT]精选[dejavu~THEORIGINALBEST1992-1995](192k_MP3)	(83.784)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][080709][アルバム]CDで聞いてみて。～ニコニコ動画せれくちょん～(mpc+cue+jpg)	(111.832)
    [IMS][JS](同人音楽)(例大祭5)[舞風(MAIKAZE)]東方天ノ神月(lame192k)	(32.067)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C72][RippleTale]_re：[MPC]	(119.788)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.85	Free space:0.15
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]AirコラボCD初期作品集(MPC)	(50.852)
    (C72)(同人音楽)[TAMUSIC]TAMUSICコンサート～key編～(MPC)	(83.501)
    (C72)(同人音楽)リル.プラクティカ-紅の天地青の流都(tta+cue+jpg)	(181.18)
    (C72)(同人音楽)(東方)[Kota-rocK]闇深祭(mpc+cue)	(86.516)
    (C72)(同人音楽)(東方)[クラゲノボーン]東方大激震(mpc+cue)	(60.551)
    (C73)[HEXA]初音ミク-ミクミク	(149.779)
    (同人音楽)(C73)[lovesolfege']マリアスノニウムの謝肉祭(mpc+cue+jpg)	(94.127)
    EXITTRANCEPRESENTS(动画音乐Remix)	(954.157)
    TTBStudio	(278.878)
    [C70][Moe][over.the.surges][Love.Solfege].专辑.(mp3)	(148.004)
    [EAC][070817(C72)][ひえろぐらふ]東方劇場(mpc+cue)	(66.526)
    [hayabusa][080627]ナツウタ2～きみと奏でる愛の歌～(lameCBR192k_jpg)	(99.673)
    [IMS][JS](同人音楽)(例大祭5)[舞風(MAIKAZE)]東方天ノ神月(lame192k)	(32.067)
    [SoundHorizon]	(604.453)
    [VOCALOID2].[初音ミク]songalbum	(146.115)
    [同人音楽][C72][Compllege]_Zenith[MPC]	(127.491)
    [同人音楽][C72][Private_Square]_Star_dust_Little_box[mpc+cue]	(64.254)
    [同人音楽][C72][RippleTale]_re：[MPC]	(119.788)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史４_東方夢時空～Pantasmagria_of_Dim.Dream[tta+cue]	(493.798)
    [同人音楽][C73][上海アリス幻樂団]_幺樂団の歴史５_東方靈異伝～Highly_Responsive_to_Prayers[tta+cue]	(389.079)
    [治愈系]大竹佑季(YukiOtake).-.[眠る孔雀].专辑.(mp3)	(51.502)
    ゆかな-BloomingVoices(320kmp3)	(125.843)

Total weight:4479.85	Free space:0.155
    (C72)(同人音楽)[Delightsmusic]Linkupremixsidetrance&progressivevol.1(mpc+cue+jpg)	(71.716)
    (C72)(同人音楽)[TAMUSIC]AirコラボCD初期作品集(MPC)	(50.852)
